owner_cluster,parent_owner_name,cluster_size,owner_source_type,owner_source_label,owner_source_url,owner_source_note,example_owner_name_raw_primary,example_facility_name,states
CHR POMPANO BEACH BROWARD LLC,CHR POMPANO BEACH BROWARD LLC,1,cms_raw_owner_file_only,CMS SNF All Owners raw ownership file,,No additional official web source attached in this pass; owner name carried directly from the CMS raw ownership snapshot.,CHR POMPANO BEACH BROWARD LLC,DEERFIELD BEACH HEALTH AND REHABILITATION CENTER,FL
DEM FAMILY TRUST I,DEM FAMILY TRUST I,1,cms_raw_owner_file_only,CMS SNF All Owners raw ownership file,,No additional official web source attached in this pass; owner name carried directly from the CMS raw ownership snapshot.,DEM FAMILY TRUST I,MAJESTIC CARE OF LAFAYETTE,IN
DESTIN SENIOR INVESTMENTS I LLC,DESTIN SENIOR INVESTMENTS I LLC,1,cms_raw_owner_file_only,CMS SNF All Owners raw ownership file,,No additional official web source attached in this pass; owner name carried directly from the CMS raw ownership snapshot.,DESTIN SENIOR INVESTMENTS I LLC,DESTINATION HEALTH AND REHABILITATION CENTER,FL
FC ENCORE KANNAPOLIS LLC,FC ENCORE KANNAPOLIS LLC,1,cms_raw_owner_file_only,CMS SNF All Owners raw ownership file,,No additional official web source attached in this pass; owner name carried directly from the CMS raw ownership snapshot.,FC ENCORE KANNAPOLIS LLC,Kannapolis Health and Rehabilitation,NC
FC ENCORE UNION LLC,FC ENCORE UNION LLC,1,cms_raw_owner_file_only,CMS SNF All Owners raw ownership file,,No additional official web source attached in this pass; owner name carried directly from the CMS raw ownership snapshot.,FC ENCORE UNION LLC,HILLTOP MANOR HEALTH AND REHABILITATION CENTER,MS
FPACP CRANE LLC,FPACP CRANE LLC,1,cms_raw_owner_file_only,CMS SNF All Owners raw ownership file,,No additional official web source attached in this pass; owner name carried directly from the CMS raw ownership snapshot.,FPACP CRANE LLC,FOCUSED CARE AT CRANE,TX
FPACP HOGAN PARK LLC,FPACP HOGAN PARK LLC,1,cms_raw_owner_file_only,CMS SNF All Owners raw ownership file,,No additional official web source attached in this pass; owner name carried directly from the CMS raw ownership snapshot.,FPACP HOGAN PARK LLC,FOCUSED CARE AT HOGAN PARK,TX
"FULLERTON CALIFORNIA, LP","FULLERTON CALIFORNIA, LP",1,cms_raw_owner_file_only,CMS SNF All Owners raw ownership file,,No additional official web source attached in this pass; owner name carried directly from the CMS raw ownership snapshot.,"FULLERTON CALIFORNIA, LP",GORDON LANE CARE CENTER,CA
GILLETTE ASSOCIATES LIMITED PARTNERSHIP,GILLETTE ASSOCIATES LIMITED PARTNERSHIP,1,cms_raw_owner_file_only,CMS SNF All Owners raw ownership file,,No additional official web source attached in this pass; owner name carried directly from the CMS raw ownership snapshot.,GILLETTE ASSOCIATES LIMITED PARTNERSHIP,GILLETTE NURSING HOME,OH
GPN FAMILY TRUST U/A/D 04/28/08,GPN FAMILY TRUST U/A/D 04/28/08,1,cms_raw_owner_file_only,CMS SNF All Owners raw ownership file,,No additional official web source attached in this pass; owner name carried directly from the CMS raw ownership snapshot.,GPN FAMILY TRUST U/A/D 04/28/08,Northgate Care Center,IA
"GTM US SENIOR HOUSING REIT, LP","GTM US SENIOR HOUSING REIT, LP",1,cms_raw_owner_file_only,CMS SNF All Owners raw ownership file,,No additional official web source attached in this pass; owner name carried directly from the CMS raw ownership snapshot.,"GTM US SENIOR HOUSING REIT, LP",GRACE MANOR CARE CENTER,CO
"HEALTH CARE HOLDINGS, LLC","HEALTH CARE HOLDINGS, LLC",1,cms_raw_owner_file_only,CMS SNF All Owners raw ownership file,,No additional official web source attached in this pass; owner name carried directly from the CMS raw ownership snapshot.,"HEALTH CARE HOLDINGS, LLC",ROSE MEADOWS HEALTH & REHAB CENTER,PA
HERITAGE MONTEREY ASSOCIATES LP,HERITAGE MONTEREY ASSOCIATES LP,1,cms_raw_owner_file_only,CMS SNF All Owners raw ownership file,,No additional official web source attached in this pass; owner name carried directly from the CMS raw ownership snapshot.,HERITAGE MONTEREY ASSOCIATES LP,HERITAGE MANOR,CA
HGRCC HOLDINGS LLC,HGRCC HOLDINGS LLC,1,cms_raw_owner_file_only,CMS SNF All Owners raw ownership file,,No additional official web source attached in this pass; owner name carried directly from the CMS raw ownership snapshot.,HGRCC HOLDINGS LLC,HARVARD GARDENS REHABILITATION & CARE CENTER,OH
JOSEPH A MERMELSTEIN TRUST DTD 7/15/99,JOSEPH A MERMELSTEIN TRUST DTD 7/15/99,1,cms_raw_owner_file_only,CMS SNF All Owners raw ownership file,,No additional official web source attached in this pass; owner name carried directly from the CMS raw ownership snapshot.,JOSEPH A MERMELSTEIN TRUST DTD 7/15/99,BALMORAL HOME,IL
"LIBERTY LONG TERM CARE, LLC","LIBERTY LONG TERM CARE, LLC",1,cms_raw_owner_file_only,CMS SNF All Owners raw ownership file,,No additional official web source attached in this pass; owner name carried directly from the CMS raw ownership snapshot.,"LIBERTY LONG TERM CARE, LLC",Liberty Commons Nursing and Rehabilitation Center,NC
MIDLAND COUNTY HOSPITAL DISTRICT,MIDLAND COUNTY HOSPITAL DISTRICT,1,cms_raw_owner_file_only,CMS SNF All Owners raw ownership file,,No additional official web source attached in this pass; owner name carried directly from the CMS raw ownership snapshot.,MIDLAND COUNTY HOSPITAL DISTRICT,Focused Care at Midland,TX
MS WESTFIELD LP,MS WESTFIELD LP,1,cms_raw_owner_file_only,CMS SNF All Owners raw ownership file,,No additional official web source attached in this pass; owner name carried directly from the CMS raw ownership snapshot.,MS WESTFIELD LP,WELLBROOKE OF WESTFIELD,IN
NORTHGATE REALTY VENTURES LLC,NORTHGATE REALTY VENTURES LLC,1,cms_raw_owner_file_only,CMS SNF All Owners raw ownership file,,No additional official web source attached in this pass; owner name carried directly from the CMS raw ownership snapshot.,NORTHGATE REALTY VENTURES LLC,NORTHGATE HEALTH AND REHABILITATION CENTER,TX
OHIO PENNSYSLVANIA PROPERTY LLC,OHIO PENNSYSLVANIA PROPERTY LLC,1,cms_raw_owner_file_only,CMS SNF All Owners raw ownership file,,No additional official web source attached in this pass; owner name carried directly from the CMS raw ownership snapshot.,OHIO PENNSYSLVANIA PROPERTY LLC,DUNMORE HEALTH CARE CENTER,PA
"OHL ASSET (VA) MECHANICSVILLE, LLC","OHL ASSET (VA) MECHANICSVILLE, LLC",1,cms_raw_owner_file_only,CMS SNF All Owners raw ownership file,,No additional official web source attached in this pass; owner name carried directly from the CMS raw ownership snapshot.,"OHL ASSET (VA) MECHANICSVILLE, LLC",AUTUMN CARE OF MECHANICSVILLE,VA
"OMG MSTR LSCO, LLC","OMG MSTR LSCO, LLC",1,cms_raw_owner_file_only,CMS SNF All Owners raw ownership file,,No additional official web source attached in this pass; owner name carried directly from the CMS raw ownership snapshot.,"OMG MSTR LSCO, LLC",PERRY HEALTH & REHAB CENTER,PA
POMONA VISTA LP,POMONA VISTA LP,1,cms_raw_owner_file_only,CMS SNF All Owners raw ownership file,,No additional official web source attached in this pass; owner name carried directly from the CMS raw ownership snapshot.,POMONA VISTA LP,POMONA VISTA CARE CENTER,CA
"PV REALTY-CLINTON, LLC","PV REALTY-CLINTON, LLC",1,cms_raw_owner_file_only,CMS SNF All Owners raw ownership file,,No additional official web source attached in this pass; owner name carried directly from the CMS raw ownership snapshot.,"PV REALTY-CLINTON, LLC",CLINTON HEALTHCARE CENTER,MD
SOFFER FAMILY ASSOCIATES LLC,SOFFER FAMILY ASSOCIATES LLC,1,cms_raw_owner_file_only,CMS SNF All Owners raw ownership file,,No additional official web source attached in this pass; owner name carried directly from the CMS raw ownership snapshot.,SOFFER FAMILY ASSOCIATES LLC,ELMORA HILLS HEALTH & REHABILITATION CENTER,NJ
"SOUTH PASADENA CARE CENTER, LLC","SOUTH PASADENA CARE CENTER, LLC",1,cms_raw_owner_file_only,CMS SNF All Owners raw ownership file,,No additional official web source attached in this pass; owner name carried directly from the CMS raw ownership snapshot.,"SOUTH PASADENA CARE CENTER, LLC",SOUTH PASADENA CARE CENTER,CA
SPTMISC PROPERTIES TRUST,SPTMISC PROPERTIES TRUST,1,cms_raw_owner_file_only,CMS SNF All Owners raw ownership file,,No additional official web source attached in this pass; owner name carried directly from the CMS raw ownership snapshot.,SPTMISC PROPERTIES TRUST,MONTEREY CARE CENTER,OH
STRATFORD HOSPITAL DISTRICT,STRATFORD HOSPITAL DISTRICT,1,cms_raw_owner_file_only,CMS SNF All Owners raw ownership file,,No additional official web source attached in this pass; owner name carried directly from the CMS raw ownership snapshot.,STRATFORD HOSPITAL DISTRICT,FOCUSED CARE AT LAMESA,TX
"THE BRYAN MILLER UTAH DYNASTY TRUST DATED APRIL 22, 2014","THE BRYAN MILLER UTAH DYNASTY TRUST DATED APRIL 22, 2014",1,cms_raw_owner_file_only,CMS SNF All Owners raw ownership file,,No additional official web source attached in this pass; owner name carried directly from the CMS raw ownership snapshot.,"THE BRYAN MILLER UTAH DYNASTY TRUST DATED APRIL 22, 2014","AHC OF LAKEWOOD, LLC",CO
"THE G&H MILLER UTAH TRUST DATED FEBRUARY 26, 2019","THE G&H MILLER UTAH TRUST DATED FEBRUARY 26, 2019",1,cms_raw_owner_file_only,CMS SNF All Owners raw ownership file,,No additional official web source attached in this pass; owner name carried directly from the CMS raw ownership snapshot.,"THE G&H MILLER UTAH TRUST DATED FEBRUARY 26, 2019",ADVANCED HEALTH CARE OF RENO,NV
"VK HEALTH FACILITIES, LLC","VK HEALTH FACILITIES, LLC",1,cms_raw_owner_file_only,CMS SNF All Owners raw ownership file,,No additional official web source attached in this pass; owner name carried directly from the CMS raw ownership snapshot.,"VK HEALTH FACILITIES, LLC","RESERVOIR CENTER FOR HEALTH & REHABILITATION, THE",MA
WACHUSETT VENTURES LLC,WACHUSETT VENTURES LLC,1,cms_raw_owner_file_only,CMS SNF All Owners raw ownership file,,No additional official web source attached in this pass; owner name carried directly from the CMS raw ownership snapshot.,WACHUSETT VENTURES LLC,PARKWAY PAVILION HEALTH AND REHABILITATION CENTER,CT
WELLMORE LLC,WELLMORE LLC,1,cms_raw_owner_file_only,CMS SNF All Owners raw ownership file,,No additional official web source attached in this pass; owner name carried directly from the CMS raw ownership snapshot.,WELLMORE LLC,Retreat at Wellmore of Lexington,SC
"WV AMFM OP CO., LLC","WV AMFM OP CO., LLC",1,cms_raw_owner_file_only,CMS SNF All Owners raw ownership file,,No additional official web source attached in this pass; owner name carried directly from the CMS raw ownership snapshot.,"WV AMFM OP CO., LLC",MCDOWELL HEALTHCARE CENTER,WV
