owner_cluster,cluster_size,public_parent_name,public_entity_type,public_reit_status,public_source_label,public_source_url,public_source_note,verification_confidence,example_owner_name_raw_primary,example_facility_name,states
"DALLAS TWO PROPERTY, LLC",2,"DALLAS TWO PROPERTY, LLC",private_real_estate_or_operating_entity,unclear,CMS owner entity name,,"Private entity visible in CMS ownership data, but I did not find enough public evidence in this pass to classify it confidently as REIT or non-REIT.",low,"DALLAS TWO PROPERTY, LLC",FOREST PARK NURSING & REHABILITATION,TX
FOCUSED POST ACUTE CARE PARTNERS LLC,2,Focused Post Acute Care Partners,operator_company,no,Focused Post Acute Care Partners official site,https://fpacp.com/focused-post-acute-care-partners-acquisitions-launch-unique-business-model-bringing-improved-long-term-care-to-outlying-secondary-and-tertiary-markets/,"Focused said it acquired operations of skilled nursing facilities in Texas, which supports an operator rather than REIT role.",medium,FOCUSED POST ACUTE CARE PARTNERS LLC,FOCUSED CARE AT HUNTSVILLE,TX
JACKSON COUNTY SCHNECK MEMORIAL HOSPITAL,2,Schneck Medical Center,hospital_system,no,Schneck official site,https://www.schneckmed.org/about-us,Schneck is a regional hospital and health system.,high,JACKSON COUNTY SCHNECK MEMORIAL HOSPITAL,SIGNATURE HEALTHCARE AT PARKWOOD,IN
OMG RE HOLDINGS LLC,2,Omega Healthcare Investors-affiliated entity,private_reit_affiliate,yes_affiliate,Omega SEC filings / Maryland exemption request,https://mhcc.maryland.gov/mhcc/pages/hcfs/hcfs_con/documents/2023_exemption/communicare/con_communicare_ex015_exemption_request_20230414.pdf,State and SEC documents tie these entities to Omega or to Omega's subsidiary/affiliate structure.,medium,OMG RE HOLDINGS LLC,ELLICOTT CITY HEALTHCARE CENTER,MD|WV
SENIOR LIVING COMMUITIES LLC,2,"Senior Living Communities, LLC",operator_company,no,Senior Living Communities official FAQs,https://senior-living-communities.com/about/faqs/,Senior Living Communities describes itself as a company that owns and operates senior living communities.,medium,SENIOR LIVING COMMUITIES LLC,MARSH'S EDGE,GA|SC
ALTEA MEDICAL OREGON LLC,1,ALTEA MEDICAL OREGON LLC,private_real_estate_or_operating_entity,unclear,CMS owner entity name,,"Private entity visible in CMS ownership data, but I did not find enough public evidence in this pass to classify it confidently as REIT or non-REIT.",low,ALTEA MEDICAL OREGON LLC,GATEWAY CARE AND RETIREMENT,OR
BIGLERVILLE ROAD LLC,1,BIGLERVILLE ROAD LLC,private_real_estate_or_operating_entity,unclear,CMS owner entity name,,"Private entity visible in CMS ownership data, but I did not find enough public evidence in this pass to classify it confidently as REIT or non-REIT.",low,BIGLERVILLE ROAD LLC,TRANSITIONS HEALTHCARE GETTYSBURG,PA
CASA/SIERRA CALIFORNIA ASSOCIATES LP,1,CASA/SIERRA CALIFORNIA ASSOCIATES LP,private_real_estate_or_operating_entity,unclear,CMS owner entity name,,"Private entity visible in CMS ownership data, but I did not find enough public evidence in this pass to classify it confidently as REIT or non-REIT.",low,CASA/SIERRA CALIFORNIA ASSOCIATES LP,SIERRA VIEW CARE CENTER,CA
CHARLESTON PROPERTIES OF BOERNE LLC,1,CHARLESTON PROPERTIES OF BOERNE LLC,private_real_estate_or_operating_entity,unclear,CMS owner entity name,,"Private entity visible in CMS ownership data, but I did not find enough public evidence in this pass to classify it confidently as REIT or non-REIT.",low,CHARLESTON PROPERTIES OF BOERNE LLC,CARE CHOICE OF BOERNE,TX
CHR POMPANO BEACH BROWARD LLC,1,CHR POMPANO BEACH BROWARD LLC,private_real_estate_or_operating_entity,unclear,CMS owner entity name,,"Private entity visible in CMS ownership data, but I did not find enough public evidence in this pass to classify it confidently as REIT or non-REIT.",low,CHR POMPANO BEACH BROWARD LLC,DEERFIELD BEACH HEALTH AND REHABILITATION CENTER,FL
DEM FAMILY TRUST I,1,DEM FAMILY TRUST I,private_trust_or_individual_vehicle,no,CMS owner entity name,,Owner entity is a private trust rather than a REIT.,low,DEM FAMILY TRUST I,MAJESTIC CARE OF LAFAYETTE,IN
DESTIN SENIOR INVESTMENTS I LLC,1,DESTIN SENIOR INVESTMENTS I LLC,private_real_estate_or_operating_entity,unclear,CMS owner entity name,,"Private entity visible in CMS ownership data, but I did not find enough public evidence in this pass to classify it confidently as REIT or non-REIT.",low,DESTIN SENIOR INVESTMENTS I LLC,DESTINATION HEALTH AND REHABILITATION CENTER,FL
FC ENCORE KANNAPOLIS LLC,1,FC ENCORE KANNAPOLIS LLC,private_real_estate_or_operating_entity,unclear,CMS owner entity name,,"Private entity visible in CMS ownership data, but I did not find enough public evidence in this pass to classify it confidently as REIT or non-REIT.",low,FC ENCORE KANNAPOLIS LLC,Kannapolis Health and Rehabilitation,NC
FC ENCORE UNION LLC,1,FC ENCORE UNION LLC,private_real_estate_or_operating_entity,unclear,CMS owner entity name,,"Private entity visible in CMS ownership data, but I did not find enough public evidence in this pass to classify it confidently as REIT or non-REIT.",low,FC ENCORE UNION LLC,HILLTOP MANOR HEALTH AND REHABILITATION CENTER,MS
FPACP CRANE LLC,1,Focused Post Acute Care Partners,operator_company,no,Focused Post Acute Care Partners official site,https://fpacp.com/focused-post-acute-care-partners-acquisitions-launch-unique-business-model-bringing-improved-long-term-care-to-outlying-secondary-and-tertiary-markets/,"Focused said it acquired operations of skilled nursing facilities in Texas, which supports an operator rather than REIT role.",medium,FPACP CRANE LLC,FOCUSED CARE AT CRANE,TX
FPACP HOGAN PARK LLC,1,Focused Post Acute Care Partners,operator_company,no,Focused Post Acute Care Partners official site,https://fpacp.com/focused-post-acute-care-partners-acquisitions-launch-unique-business-model-bringing-improved-long-term-care-to-outlying-secondary-and-tertiary-markets/,"Focused said it acquired operations of skilled nursing facilities in Texas, which supports an operator rather than REIT role.",medium,FPACP HOGAN PARK LLC,FOCUSED CARE AT HOGAN PARK,TX
"FULLERTON CALIFORNIA, LP",1,"FULLERTON CALIFORNIA, LP",private_real_estate_or_operating_entity,unclear,CMS owner entity name,,"Private entity visible in CMS ownership data, but I did not find enough public evidence in this pass to classify it confidently as REIT or non-REIT.",low,"FULLERTON CALIFORNIA, LP",GORDON LANE CARE CENTER,CA
GILLETTE ASSOCIATES LIMITED PARTNERSHIP,1,GILLETTE ASSOCIATES LIMITED PARTNERSHIP,private_real_estate_or_operating_entity,unclear,CMS owner entity name,,"Private entity visible in CMS ownership data, but I did not find enough public evidence in this pass to classify it confidently as REIT or non-REIT.",low,GILLETTE ASSOCIATES LIMITED PARTNERSHIP,GILLETTE NURSING HOME,OH
GPN FAMILY TRUST U/A/D 04/28/08,1,GPN FAMILY TRUST U/A/D 04/28/08,private_trust_or_individual_vehicle,no,CMS owner entity name,,Owner entity is a private trust rather than a REIT.,low,GPN FAMILY TRUST U/A/D 04/28/08,Northgate Care Center,IA
"GTM US SENIOR HOUSING REIT, LP",1,"GTM US Sr Housing REIT Inc. / GTM US Senior Housing REIT, LP",private_reit_entity,yes,Florida Division of Corporations,https://search.sunbiz.org/Inquiry/CorporationSearch/SearchResultDetail?aggregateId=forlp-b15000000312-e955e064-ae75-4f66-b2c5-ebeb044fe4b2&directionType=Initial&inquirytype=OfficerRegisteredAgentName&listNameOrder=GTMINVESTORSLLC+L170001372771&searchNameOrder=GTMUSSRHOUSINGREITINC+B150000003122&searchTerm=Gtm+Investors+Llc,"Florida's entity record shows GTM US Senior Housing REIT, LP and its REIT-labeled general partner.",medium,"GTM US SENIOR HOUSING REIT, LP",GRACE MANOR CARE CENTER,CO
"HEALTH CARE HOLDINGS, LLC",1,Omega Healthcare Investors-affiliated entity,private_reit_affiliate,yes_affiliate,Omega SEC filings / Maryland exemption request,https://mhcc.maryland.gov/mhcc/pages/hcfs/hcfs_con/documents/2023_exemption/communicare/con_communicare_ex015_exemption_request_20230414.pdf,State and SEC documents tie these entities to Omega or to Omega's subsidiary/affiliate structure.,medium,"HEALTH CARE HOLDINGS, LLC",ROSE MEADOWS HEALTH & REHAB CENTER,PA
HERITAGE MONTEREY ASSOCIATES LP,1,HERITAGE MONTEREY ASSOCIATES LP,private_real_estate_or_operating_entity,unclear,CMS owner entity name,,"Private entity visible in CMS ownership data, but I did not find enough public evidence in this pass to classify it confidently as REIT or non-REIT.",low,HERITAGE MONTEREY ASSOCIATES LP,HERITAGE MANOR,CA
HGRCC HOLDINGS LLC,1,HGRCC HOLDINGS LLC,private_real_estate_or_operating_entity,unclear,CMS owner entity name,,"Private entity visible in CMS ownership data, but I did not find enough public evidence in this pass to classify it confidently as REIT or non-REIT.",low,HGRCC HOLDINGS LLC,HARVARD GARDENS REHABILITATION & CARE CENTER,OH
JOSEPH A MERMELSTEIN TRUST DTD 7/15/99,1,JOSEPH A MERMELSTEIN TRUST DTD 7/15/99,private_trust_or_individual_vehicle,no,CMS owner entity name,,Owner entity is a private trust rather than a REIT.,low,JOSEPH A MERMELSTEIN TRUST DTD 7/15/99,BALMORAL HOME,IL
"LIBERTY LONG TERM CARE, LLC",1,"LIBERTY LONG TERM CARE, LLC",private_real_estate_or_operating_entity,unclear,CMS owner entity name,,"Private entity visible in CMS ownership data, but I did not find enough public evidence in this pass to classify it confidently as REIT or non-REIT.",low,"LIBERTY LONG TERM CARE, LLC",Liberty Commons Nursing and Rehabilitation Center,NC
MIDLAND COUNTY HOSPITAL DISTRICT,1,MIDLAND COUNTY HOSPITAL DISTRICT,hospital_system,no,CMS owner entity name,,Owner entity is a hospital or hospital-related organization.,low,MIDLAND COUNTY HOSPITAL DISTRICT,Focused Care at Midland,TX
MS WESTFIELD LP,1,MS WESTFIELD LP,private_real_estate_or_operating_entity,unclear,CMS owner entity name,,"Private entity visible in CMS ownership data, but I did not find enough public evidence in this pass to classify it confidently as REIT or non-REIT.",low,MS WESTFIELD LP,WELLBROOKE OF WESTFIELD,IN
NORTHGATE REALTY VENTURES LLC,1,NORTHGATE REALTY VENTURES LLC,private_real_estate_or_operating_entity,unclear,CMS owner entity name,,"Private entity visible in CMS ownership data, but I did not find enough public evidence in this pass to classify it confidently as REIT or non-REIT.",low,NORTHGATE REALTY VENTURES LLC,NORTHGATE HEALTH AND REHABILITATION CENTER,TX
OHIO PENNSYSLVANIA PROPERTY LLC,1,Omega Healthcare Investors-affiliated entity,private_reit_affiliate,yes_affiliate,Omega SEC filings / Maryland exemption request,https://mhcc.maryland.gov/mhcc/pages/hcfs/hcfs_con/documents/2023_exemption/communicare/con_communicare_ex015_exemption_request_20230414.pdf,State and SEC documents tie these entities to Omega or to Omega's subsidiary/affiliate structure.,medium,OHIO PENNSYSLVANIA PROPERTY LLC,DUNMORE HEALTH CARE CENTER,PA
"OHL ASSET (VA) MECHANICSVILLE, LLC",1,Omega Healthcare Investors-affiliated entity,private_reit_affiliate,yes_affiliate,Omega SEC filings / Maryland exemption request,https://mhcc.maryland.gov/mhcc/pages/hcfs/hcfs_con/documents/2023_exemption/communicare/con_communicare_ex015_exemption_request_20230414.pdf,State and SEC documents tie these entities to Omega or to Omega's subsidiary/affiliate structure.,medium,"OHL ASSET (VA) MECHANICSVILLE, LLC",AUTUMN CARE OF MECHANICSVILLE,VA
"OMG MSTR LSCO, LLC",1,"OMG MSTR LSCO, LLC",private_real_estate_or_operating_entity,unclear,CMS owner entity name,,"Private entity visible in CMS ownership data, but I did not find enough public evidence in this pass to classify it confidently as REIT or non-REIT.",low,"OMG MSTR LSCO, LLC",PERRY HEALTH & REHAB CENTER,PA
POMONA VISTA LP,1,POMONA VISTA LP,private_real_estate_or_operating_entity,unclear,CMS owner entity name,,"Private entity visible in CMS ownership data, but I did not find enough public evidence in this pass to classify it confidently as REIT or non-REIT.",low,POMONA VISTA LP,POMONA VISTA CARE CENTER,CA
"PV REALTY-CLINTON, LLC",1,"PV REALTY-CLINTON, LLC",private_real_estate_or_operating_entity,unclear,CMS owner entity name,,"Private entity visible in CMS ownership data, but I did not find enough public evidence in this pass to classify it confidently as REIT or non-REIT.",low,"PV REALTY-CLINTON, LLC",CLINTON HEALTHCARE CENTER,MD
SOFFER FAMILY ASSOCIATES LLC,1,SOFFER FAMILY ASSOCIATES LLC,private_real_estate_or_operating_entity,unclear,CMS owner entity name,,"Private entity visible in CMS ownership data, but I did not find enough public evidence in this pass to classify it confidently as REIT or non-REIT.",low,SOFFER FAMILY ASSOCIATES LLC,ELMORA HILLS HEALTH & REHABILITATION CENTER,NJ
"SOUTH PASADENA CARE CENTER, LLC",1,"SOUTH PASADENA CARE CENTER, LLC",private_real_estate_or_operating_entity,unclear,CMS owner entity name,,"Private entity visible in CMS ownership data, but I did not find enough public evidence in this pass to classify it confidently as REIT or non-REIT.",low,"SOUTH PASADENA CARE CENTER, LLC",SOUTH PASADENA CARE CENTER,CA
SPTMISC PROPERTIES TRUST,1,SPTMISC PROPERTIES TRUST,private_trust_or_individual_vehicle,no,CMS owner entity name,,Owner entity is a private trust rather than a REIT.,low,SPTMISC PROPERTIES TRUST,MONTEREY CARE CENTER,OH
STRATFORD HOSPITAL DISTRICT,1,STRATFORD HOSPITAL DISTRICT,hospital_system,no,CMS owner entity name,,Owner entity is a hospital or hospital-related organization.,low,STRATFORD HOSPITAL DISTRICT,FOCUSED CARE AT LAMESA,TX
"THE BRYAN MILLER UTAH DYNASTY TRUST DATED APRIL 22, 2014",1,"THE BRYAN MILLER UTAH DYNASTY TRUST DATED APRIL 22, 2014",private_trust_or_individual_vehicle,no,CMS owner entity name,,Owner entity is a private trust rather than a REIT.,low,"THE BRYAN MILLER UTAH DYNASTY TRUST DATED APRIL 22, 2014","AHC OF LAKEWOOD, LLC",CO
"THE G&H MILLER UTAH TRUST DATED FEBRUARY 26, 2019",1,"THE G&H MILLER UTAH TRUST DATED FEBRUARY 26, 2019",private_trust_or_individual_vehicle,no,CMS owner entity name,,Owner entity is a private trust rather than a REIT.,low,"THE G&H MILLER UTAH TRUST DATED FEBRUARY 26, 2019",ADVANCED HEALTH CARE OF RENO,NV
"VK HEALTH FACILITIES, LLC",1,"VK HEALTH FACILITIES, LLC",private_real_estate_or_operating_entity,unclear,CMS owner entity name,,"Private entity visible in CMS ownership data, but I did not find enough public evidence in this pass to classify it confidently as REIT or non-REIT.",low,"VK HEALTH FACILITIES, LLC","RESERVOIR CENTER FOR HEALTH & REHABILITATION, THE",MA
WACHUSETT VENTURES LLC,1,"Wachusett Ventures, LLC",operator_company,no,New England Healthcare Systems leadership page,https://nehs.care/steven-vera/,The Wachusett Ventures leadership bio describes day-to-day operational management of skilled nursing facilities.,medium,WACHUSETT VENTURES LLC,PARKWAY PAVILION HEALTH AND REHABILITATION CENTER,CT
WELLMORE LLC,1,"Senior Living Communities, LLC",operator_company,no,Senior Living Communities official FAQs,https://senior-living-communities.com/about/faqs/,Senior Living Communities describes itself as a company that owns and operates senior living communities.,medium,WELLMORE LLC,Retreat at Wellmore of Lexington,SC
"WV AMFM OP CO., LLC",1,"WV AMFM OP CO., LLC",private_real_estate_or_operating_entity,unclear,CMS owner entity name,,"Private entity visible in CMS ownership data, but I did not find enough public evidence in this pass to classify it confidently as REIT or non-REIT.",low,"WV AMFM OP CO., LLC",MCDOWELL HEALTHCARE CENTER,WV
